DESCRIPCION,DEBITO
RETIRO ATM BP   JARDIN 3              QU,200.0
TRANSFERENCIA INTERNET,182.17000000000002
TRANSFERENCIA INTERBANCARIA ENVIADA,116.49
RETIRO ATM BP   U.SALESIANA SUR       QU,30.0
PAGO MTRQ TRF   5F2F01A7-D2C4-4748-B,17.0
CONSUMO VISA IN EA *ELECTRONIC ARTS   HE,16.99
CONSUMO VISA IN SPOTIFY               ST,3.49
CONSUMO VISA NA CLARO ECUADOR KS      GU,3.08
CONSUMO VISA IN APPLE.COM/BILL        86,2.99
****RETENCION IVASD      EA *ELECT,2.55
IMPUESTO ISD         EA *ELECT,0.85
****RETENCION IVASD      SPOTIFY,0.52
****RETENCION IVASD      APPLE.COM,0.45
**COMISION TRANSFERENCIA INTERBANCARIA EN,0.36
IMPUESTO ISD         SPOTIFY,0.17
IMPUESTO ISD         APPLE.COM,0.15
IVA COBRADO,0.05
07247622-REG RECLAMOS-T3-080149928,0.0
07314235-REG RECLAMOS-T3-001022422,0.0
07344572-REG RECLAMOS-T3-011837857,0.0
07808210-REG RECLAMOS-T3-066166416,0.0
07961788-REG RECLAMOS-T3-070881227,0.0
07551336-BANCO PICHINCHA-RB-000000000000,0.0
